"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name"
"5430","XLOC_005431",1976.8,2206.52,2167.63,908.446,941.96,1582.59,"ATP5G2"
"5431","XLOC_005432",239.585,253.65,214.81,414.358,367.763,454.331,"CALCOCO1"
"5432","XLOC_005433",0,0,0.697436,0,1.73473,0,"HOTAIR"
"5433","XLOC_005434",0.884079,1.59028,0.697436,0,3.46947,0,"LOC100240735"
"5434","XLOC_005435",229.861,268.758,258.749,287.513,249.802,293.422,"SMUG1"
"5435","XLOC_005436",11669.8,10004.5,9660.89,12221.7,11699,10936.1,"CBX5,MIR3198-2"
"5436","XLOC_005437",13.2612,8.74655,16.7385,6.0402,13.8779,20.8235,"NFE2"
"5437","XLOC_005438",1.76816,0,4.18462,0,0,0,"GPR84"
"5438","XLOC_005439",92.8283,116.886,105.313,38.6573,34.6947,73.8288,"ZNF385A"
"5439","XLOC_005440",329.762,358.609,336.862,4455.25,4260.51,6436.36,"ITGA5"
"5440","XLOC_005441",1.76816,4.77085,3.48718,0,1.73473,1.89305,"GTSF1"
"5441","XLOC_005442",142.337,120.066,129.723,62.818,62.4504,59.631,"PPP1R1A"
"5442","XLOC_005443",0,0,0,0,0,0,"GLYCAM1"
"5443","XLOC_005444",0,0,0,0,0,0,"LACRT"
"5444","XLOC_005445",0,0,0,0,0,0,"DCD"
"5445","XLOC_005446",0.884079,0,0.697436,0,0,0,"KIAA0748"
"5446","XLOC_005447",0,0,0,0,0,0,"OR6C6"
"5447","XLOC_005448",0,0,0,0,0,0,"OR6C70"
"5448","XLOC_005449",541.057,621.005,651.406,312.882,393.784,658.78,"ITGA7"
"5449","XLOC_005450",2800.76,3054.93,3319.8,6429.19,6290.14,5638.44,"CD63"
"5450","XLOC_005451",2111.18,2142.9,2391.51,2230.04,2492.81,1596.79,"SARNP"
"5451","XLOC_005452",1063.55,972.457,962.462,1229.78,1018.29,1094.18,"DNAJC14"
"5452","XLOC_005453",141.453,157.438,147.159,146.173,197.76,176.053,"MMP19"
"5453","XLOC_005454",456.185,470.723,534.236,524.289,593.279,688.123,"WIBG"
"5454","XLOC_005455",1102.45,1163.29,1058.01,90.603,98.8798,141.032,"PMEL"
"5455","XLOC_005456",2043.99,2152.45,1896.33,1760.11,1824.94,1990.54,"SMARCC2"
"5456","XLOC_005457",1284.57,1336.63,1321.64,1264.82,1366.97,1268.34,"RNF41"
"5457","XLOC_005458",1057.36,1084.57,1084.51,1078.78,1004.41,1651.68,"ANKRD52"
"5458","XLOC_005459",4465.48,4644.42,4497.07,4685.98,4543.27,3765.27,"CS"
"5459","XLOC_005460",1750.48,1823.26,1708.72,1944.94,1798.92,1938.48,"CNPY2,PAN2"
"5460","XLOC_005461",777.99,765.721,731.611,1343.34,1399.93,1464.27,"STAT2"
"5461","XLOC_005462",1.76816,0.795141,0,0,3.46947,0.946523,"APOF"
"5462","XLOC_005463",3127.87,3275.98,3213.09,1828.97,1680.96,2161.86,"TIMELESS"
"5463","XLOC_005464",2.65224,0.795141,1.39487,1.20804,0,0.946523,"MIP"
"5464","XLOC_005465",368.661,383.258,346.626,20.5367,15.6126,26.5027,"GLS2"
"5465","XLOC_005466",3546.04,3539.97,3187.98,3952.7,3891.01,4785.62,"BAZ2A"
"5466","XLOC_005467",14592.6,14875.5,14851.9,13540.9,12526.5,10151.5,"ATP5B"
"5467","XLOC_005468",0,0.795141,0,0,1.73473,0,"SNORD59B"
"5468","XLOC_005469",4.4204,0.795141,5.57949,3.62412,1.73473,0,"SNORD59A"
"5469","XLOC_005470",14394.6,13878.4,14865.2,12615.6,13225.6,8386.2,"PTGES3"
"5470","XLOC_005471",11345.4,12041.6,12424.1,10380.7,10809.1,8930.45,"NACA"
"5471","XLOC_005472",1389.77,1339.02,1359.3,610.06,584.605,495.032,"PRIM1"
"5472","XLOC_005473",2.65224,1.59028,2.78975,1.20804,0,0,"SDR9C7"
"5473","XLOC_005474",12.3771,11.9271,17.4359,8.45628,6.93893,11.3583,"RDH16"
"5474","XLOC_005475",1083,1090.14,1056.62,953.143,851.754,918.128,"ZBTB39"
"5475","XLOC_005476",103.437,117.681,112.985,12.0804,20.8168,13.2513,"TAC3"
"5476","XLOC_005477",3.53632,6.36113,5.57949,8.45628,6.93893,5.67914,"MYO1A"
"5477","XLOC_005478",2232.3,2107.12,1957.7,2180.51,2199.64,1744.44,"TMEM194A"
"5478","XLOC_005479",400.488,430.171,399.631,359.996,324.395,589.684,"STAT6"
"5479","XLOC_005480",1.76816,1.59028,0,1.20804,0,1.89305,"NDUFA4L2"
"5480","XLOC_005481",31.8269,20.6737,21.6205,49.5296,48.5725,78.5614,"STAC3"
"5481","XLOC_005482",698.423,657.582,638.154,898.781,1091.15,1212.5,"R3HDM2"
"5482","XLOC_005483",15.0293,19.8785,12.5539,10.8724,12.1431,17.0374,"ARHGAP9"
"5483","XLOC_005484",72.4945,100.188,101.128,136.508,147.452,123.048,"DDIT3"
"5484","XLOC_005485",1789.38,1873.35,1759.63,2068.16,2267.3,2224.33,"DCTN2"
"5485","XLOC_005486",10.609,9.54169,7.6718,13.2884,22.5515,11.3583,"B4GALNT1"
"5486","XLOC_005487",17.6816,20.6737,10.4615,1.20804,3.46947,5.67914,"AGAP2"
"5487","XLOC_005488",2174.83,2450.62,2376.17,1702.13,1608.1,1556.08,"CDK4"
"5488","XLOC_005489",28.2905,45.323,36.2667,25.3688,24.2863,13.2513,"CYP27B1"
"5489","XLOC_005490",271.412,306.924,322.913,166.709,128.37,138.192,"METTL1"
"5490","XLOC_005491",28.2905,29.4202,18.1333,60.402,53.7767,43.5401,"AVIL"
"5491","XLOC_005492",2867.07,2695.53,2609.81,3659.15,3634.27,4231.91,"CTDSP2"
"5492","XLOC_005493",0,0,0,0,0,0,"MIR26A2"
"5493","XLOC_005494",48.6244,34.9862,35.5693,47.1135,45.1031,35.0214,"LOC100506844"
"5494","XLOC_005495",301.471,261.601,299.898,7716.96,7710.89,5897.79,"LRIG3"
"5495","XLOC_005496",22.102,19.8785,24.4103,10.8724,15.6126,8.51871,"FAM19A2"
"5496","XLOC_005497",3.53632,5.56599,4.88206,10.8724,20.8168,5.67914,"C12orf61"
"5497","XLOC_005498",1988.29,1750.11,1733.13,1146.43,1332.28,1182.21,"PPM1H"
"5498","XLOC_005499",2.65224,5.56599,1.39487,1.20804,0,0.946523,"AVPR1A"
"5499","XLOC_005500",135.264,124.837,152.739,143.757,142.248,116.422,"DPY19L2"
"5500","XLOC_005501",152.946,141.535,107.405,83.3547,79.7977,88.9732,"C12orf66"
"5501","XLOC_005502",107.858,94.6218,96.9437,6.0402,5.2042,1.89305,"C12orf56"
"5502","XLOC_005503",0,0,0,0,0,0,"MIR548Z"
"5503","XLOC_005504",1466.69,1360.49,1336.29,2546.55,2482.4,2233.8,"GNS"
"5504","XLOC_005505",63.6537,65.9967,55.7949,1.20804,1.73473,5.67914,"WIF1"
"5505","XLOC_005506",4.4204,3.9757,1.39487,9.66432,1.73473,5.67914,"RPSAP52"
"5506","XLOC_005507",830.15,873.86,1007.8,968.848,1099.82,598.203,"LLPH"
"5507","XLOC_005508",419.938,426.196,465.19,617.308,676.546,463.796,"TMBIM4"
"5508","XLOC_005509",478.287,442.894,447.057,331.003,378.172,303.834,"GRIP1"
"5509","XLOC_005510",0,0,0,0,0,0,"IFNG"
"5510","XLOC_005511",0,0,0,0,0,0,"IL26"
"5511","XLOC_005512",0,0,0,0,0,0,"IL22"
"5512","XLOC_005513",289.094,304.539,301.293,253.688,234.189,194.037,"MDM1"
"5513","XLOC_005514",0,0,0,0,0,0.946523,"SNORA70G"
"5514","XLOC_005515",22.9861,19.0834,15.3436,9.66432,12.1431,8.51871,"LOC100507250"
"5515","XLOC_005516",64.5378,66.7918,55.0975,83.3547,53.7767,81.401,"CPM"
"5516","XLOC_005517",0.884079,1.59028,0.697436,1.20804,0,0.946523,"MIR1279"
"5517","XLOC_005518",0,0,0,0,0,0,"MIR3913-1"
"5518","XLOC_005519",0,0.795141,0.697436,0,1.73473,0,"LRRC10"
"5519","XLOC_005520",0.884079,1.59028,0.697436,0,0,0.946523,"BEST3"
"5520","XLOC_005521",45.9721,40.5522,34.1744,22.9527,31.2252,21.77,"PTPRB"
"5521","XLOC_005522",10.609,8.74655,11.159,3.62412,6.93893,1.89305,"PTPRR"
"5522","XLOC_005523",0.884079,1.59028,1.39487,6.0402,20.8168,12.3048,"TSPAN8"
"5523","XLOC_005524",1691.24,1537.01,1268.64,2053.67,2260.36,1912.92,"ZFC3H1"
"5524","XLOC_005525",7.95671,5.56599,5.57949,4.83216,5.2042,5.67914,"MRS2P2"
"5525","XLOC_005526",34.4791,30.2154,39.0564,9.66432,22.5515,6.62566,"LOC283392"
"5526","XLOC_005527",10.609,5.56599,4.88206,10.8724,1.73473,6.62566,"LOC100507377"
"5527","XLOC_005528",1.76816,0,0.697436,0,0,0,"KCNC2"
"5528","XLOC_005529",36.2472,47.7085,36.2667,16.9126,8.67367,24.6096,"CAPS2"
"5529","XLOC_005530",1530.34,1548.93,1591.55,1796.35,1859.63,1239,"KRR1"
"5530","XLOC_005531",2789.27,2512.65,2618.87,498.92,444.092,315.192,"PHLDA1"
"5531","XLOC_005532",28777.7,27890.4,29719.9,21730.2,24513.5,15445.4,"NAP1L1"
"5532","XLOC_005533",540.172,504.119,444.267,352.747,480.521,302.887,"BBS10"
"5533","XLOC_005534",3224.24,2876.02,2823.92,3194.06,3136.4,2424.99,"OSBPL8"
"5534","XLOC_005535",1950.28,1902.77,2005.83,726.032,749.405,644.582,"CSRP2"
"5535","XLOC_005536",1244.78,1191.12,1077.54,664.422,636.647,546.144,"E2F7"
"5536","XLOC_005537",1950.28,1774.75,1745.68,851.668,876.04,634.171,"PAWR"
"5537","XLOC_005538",3790.93,3331.64,3452.31,4277.67,4911.03,3504.03,"PPP1R12A"
