"","tracking_id","ES_0","ES_1","ES_2","DefEnd_0","DefEnd_2","DefEnd_1","gene_short_name","es_mean","de_mean","xlog2","tstat","p","Bonf_p","es_count","de_count","es_present","de_present"
"17891","XLOC_017891",104.293,111.316,127.2,175.273,227.004,148.444,"CTBP1-AS2",114.269666666667,183.573666666667,0.683916636130036,-2.88406385998596,0.10213548606285,1,3,3,1,1
"18400","XLOC_018400",529.424,507.105,602.453,978.754,871.129,797.735,"CTBP1",546.327333333333,882.539333333333,0.691894973975162,-5.6095828283883,0.0303400657273573,1,3,3,1,1
"2909","XLOC_002909",29.4567,34.4549,33.5473,59.0029,60.5345,42.2401,"FRAT1",32.4863,53.9258333333333,0.731145127513351,-3.53911837260277,0.0713936409266876,1,3,3,1,1
"18214","XLOC_018214",0,0,0.698902,0,0,1.20686,"LEF1-AS1",0.232967333333333,0.402286666666667,0.788096247830324,-0.364225866832591,0.750592261304986,1,1,1,0,0
"9952","XLOC_009952",15.9225,15.0188,4.89231,19.0892,38.7799,4.82744,"TP53I13",11.9445366666667,20.8988466666667,0.807072435108494,-0.856159146564737,0.482114190960072,1,3,3,1,1
"20862","XLOC_020862",1.59225,0,0,0,2.83755,0,"SAPCD1-AS1,VWA7",0.53075,0.94585,0.833578942154173,-0.382726519325853,0.738768722502783,1,1,1,0,0
"7169","XLOC_007169",1233.2,1352.57,1213.29,2382.68,1925.75,2469.24,"PSEN1",1266.35333333333,2259.22333333333,0.835146897507403,-5.70230242637977,0.0294041609339168,1,3,3,1,1
"19194","XLOC_019194",143.303,150.188,130.695,272.455,246.867,271.544,"TCF7",141.395333333333,263.622,0.898736266679423,-12.0535239667583,0.00681265129084603,1,3,3,1,1
"8672","XLOC_008672",201.42,194.361,185.908,343.605,333.886,427.229,"PRKXP1",193.896333333333,368.24,0.925360825982353,-5.81823796786974,0.0282927703582339,1,3,3,1,1
"12726","XLOC_012726",335.169,326.88,370.418,780.921,623.316,771.184,"JUND",344.155666666667,725.140333333333,1.07519895607574,-7.22825313578384,0.0186070924349702,1,3,3,1,1
"25772","XLOC_025773",0,0,2.0967,3.47076,0,1.20686,"PRKX-AS1",0.6989,1.55920666666667,1.15765421241394,-0.697034037585725,0.55790463353323,1,1,2,0,1
"24722","XLOC_024723",535.793,560.996,454.286,1317.15,1041.38,1171.86,"SNAPC3",517.025,1176.79666666667,1.18655911842539,-7.67981767900443,0.0165356406726635,1,3,3,1,1
"16752","XLOC_016752",1.59225,0.883458,3.49451,5.20614,2.83755,6.0343,"PRICKLE2-AS1",1.99007266666667,4.69266333333333,1.23758584939178,-2.18834049894502,0.160119885841446,1,3,3,1,1
"5247","XLOC_005247",3.18451,1.76692,2.79561,3.47076,6.62096,9.65489,"SKP1P2",2.58234666666667,6.58220333333333,1.34988790600491,-2.18010170382749,0.161055147205975,1,3,3,1,1
"24496","XLOC_024497",812.845,935.582,780.673,2509.36,1802.79,2420.96,"TP53INP1",843.033333333333,2244.37,1.41264895264287,-6.16742706285132,0.0252967617703164,1,3,3,1,1
"2426","XLOC_002426",1374.11,1437.39,1318.83,4005.26,3434.39,4251.77,"TP53BP2",1376.77666666667,3897.14,1.50112120730385,-10.3089913190251,0.0092787642946581,1,3,3,1,1
"4511","XLOC_004511",456.18,432.894,387.192,1193.94,1175.69,1317.89,"DKK3",425.422,1229.17333333333,1.53072182646126,-16.3860810825209,0.00370366631576086,1,3,3,1,1
"17776","XLOC_017776",2989.45,3424.28,3293.22,10509.5,7896.91,10144.9,"TBL1XR1",3235.65,9517.10333333333,1.55646697545004,-7.59552300790056,0.0168953994202261,1,3,3,1,1
"2657","XLOC_002657",234.061,230.583,252.303,702.829,567.511,947.386,"BAMBI",238.982333333333,739.242,1.62914275419977,-4.49205460077563,0.0461536823672836,1,3,3,1,1
"7113","XLOC_007113",831.952,898.477,845.671,3009.15,2195.32,2947.15,"DAAM1",858.7,2717.20666666667,1.66189820206898,-7.08430653821232,0.0193489037217888,1,3,3,1,1
"11218","XLOC_011218",48.5637,53.0075,53.8154,180.48,165.524,152.064,"APCDD1",51.7955333333333,166.022666666667,1.68048062724205,-13.6511124560419,0.00532335277376588,1,3,3,1,1
"661","XLOC_000661",13.5341,12.3684,8.38682,32.9722,35.9424,42.2401,"WNT2B",11.4297733333333,37.0515666666667,1.69673775249665,-8.14580564300693,0.0147382984503065,1,3,3,1,1
"2448","XLOC_002448",0.796126,0,0.698902,1.73538,3.78341,0,"WNT9A",0.498342666666667,1.83959666666667,1.88417948485731,-1.19562507070584,0.354377901915446,1,2,2,1,1
"9003","XLOC_009003",112.254,125.451,97.8462,354.018,426.579,469.469,"NKD1",111.8504,416.688666666667,1.8973994455608,-8.80453928419026,0.0126555480803338,1,3,3,1,1
"11005","XLOC_011005",426.724,433.778,442.405,1744.06,1577.68,1640.12,"AXIN2",434.302333333333,1653.95333333333,1.92914692016649,-25.0253467184291,0.0015929462306432,1,3,3,1,1
"1732","XLOC_001732",94.739,77.7443,89.4594,321.045,436.983,306.543,"JUN",87.3142333333333,354.857,2.02294900976827,-6.43437649640979,0.0233125751849119,1,3,3,1,1
"19127","XLOC_019127",1217.28,1322.54,1155.98,6240.43,4598.73,5879.83,"APC",1231.93333333333,5572.99666666667,2.17752910450122,-8.67344979793778,0.0130334846971461,1,3,3,1,1
"4593","XLOC_004593",386.121,349.849,364.128,1497.63,2646.49,1578.57,"TP53I11",366.699333333333,1907.56333333333,2.37906140870101,-4.16054246638243,0.0532015360711657,1,3,3,1,1
"15037","XLOC_015037",119.419,139.586,124.404,728.86,717.901,825.493,"TP53INP2",127.803,757.418,2.56716800523534,-18.1351111116937,0.00302680388738082,1,3,3,1,1
"15464","XLOC_015464",6.36901,6.18421,2.0967,52.0614,34.9965,15.6892,"TP53TG5",4.88330666666667,34.2490333333333,2.81013298339168,-2.77073923283797,0.109312462337588,1,3,3,1,1
"675","XLOC_000675",818.418,886.992,790.458,6695.1,5802.8,6286.54,"VANGL1",831.956,6261.48,2.9119245662058,-20.9247180333975,0.00227612462100418,1,3,3,1,1
"4914","XLOC_004914",381.344,409.925,352.945,3118.48,2571.77,3639.88,"FZD4",381.404666666667,3110.04333333333,3.02754028114785,-8.83614945523107,0.0125668595232418,1,3,3,1,1
"14725","XLOC_014725",1819.15,1900.32,2026.12,19805.9,16052,17586.4,"FZD5",1915.19666666667,17814.7666666667,3.21750913598993,-14.5691346307636,0.00467817628640898,1,3,3,1,1
"20540","XLOC_020540",3.18451,6.18421,2.79561,34.7076,21.7546,57.9293,"RSPO3",4.05477666666667,38.1305,3.23325108960926,-3.20378829955303,0.0851642114722709,1,3,3,1,1
"19215","XLOC_019215",2.38838,2.65037,1.3978,24.2953,34.9965,21.7235,"WNT8A",2.14551666666667,27.0051,3.65383487731096,-6.09012948251363,0.0259180748927462,1,3,3,1,1
"3202","XLOC_003202",132.157,113.083,123.706,1700.67,1563.49,1542.37,"FZD8",122.982,1602.17666666667,3.70351415855486,-29.6262622555903,0.00113737806032627,1,3,3,1,1
"24355","XLOC_024356",0.796126,1.76692,0,15.6184,19.8629,12.0686,"DKK4",0.854348666666667,15.8499666666667,4.21351103043085,-6.49105415192594,0.0229210665403243,1,2,3,1,1
"10864","XLOC_010864",32.6412,33.5714,25.1605,812.158,759.519,913.594,"WNT3",30.4577,828.423666666667,4.76548986294971,-17.6177229481637,0.00320632688828345,1,3,3,1,1
"20621","XLOC_020621",11.9419,10.6015,9.78462,770.509,504.139,514.123,"MYCT1",10.7760066666667,596.257,5.79003974475788,-6.71608577163424,0.0214590501111742,1,3,3,1,1
