"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name","es_mean","de_mean","xlog2","tstat","p","Bonf_p"
"2059","XLOC_002059",0.884079,0.795141,0,0,0,0.946523,"APOBEC4",0.55974,0.315507666666667,-0.827081786582399,0.578023865331409,0.621657645338111,1
"4197","XLOC_004197",0.884079,0.795141,0,0,0,0.946523,"MS4A6A",0.55974,0.315507666666667,-0.827081786582399,0.578023865331409,0.621657645338111,1
"6206","XLOC_006207",0.884079,0.795141,0,0,0,0.946523,"INSM2",0.55974,0.315507666666667,-0.827081786582399,0.578023865331409,0.621657645338111,1
"7545","XLOC_007546",0.884079,0.795141,0,0,0,0.946523,"GOLGA6A",0.55974,0.315507666666667,-0.827081786582399,0.578023865331409,0.621657645338111,1
"8018","XLOC_008019",0.884079,0.795141,0,0,0,0.946523,"CMTM2",0.55974,0.315507666666667,-0.827081786582399,0.578023865331409,0.621657645338111,1
"8796","XLOC_008797",0.884079,0.795141,0,0,0,0.946523,"SNORD4B",0.55974,0.315507666666667,-0.827081786582399,0.578023865331409,0.621657645338111,1
"14878","XLOC_014879",0.884079,0.795141,0,0,0,0.946523,"MIR1226",0.55974,0.315507666666667,-0.827081786582399,0.578023865331409,0.621657645338111,1
"15995","XLOC_015996",0.884079,0.795141,0,0,0,0.946523,"C1QTNF7",0.55974,0.315507666666667,-0.827081786582399,0.578023865331409,0.621657645338111,1
"18420","XLOC_018421",0.884079,0.795141,0,0,0,0.946523,"POM121L2",0.55974,0.315507666666667,-0.827081786582399,0.578023865331409,0.621657645338111,1
"13662","XLOC_013663",747.931,755.384,728.124,420.398,414.601,422.149,"JAG1",743.813,419.049333333333,-0.827819865108187,38.4429845882158,0.000675966663338091,1
"1520","XLOC_001520",0.884079,3.9757,2.78975,2.41608,0,1.89305,"TAL1",2.549843,1.43637666666667,-0.827974297263212,0.958500283823647,0.438957422736318,1
"12452","XLOC_012453",106.09,111.32,122.051,62.818,55.5115,72.8823,"VIL1",113.153666666667,63.7372666666667,-0.828074278433047,7.17562381523397,0.0188733323237396,1
"16058","XLOC_016059",170.627,167.775,161.108,94.2271,86.7367,100.331,"SPATA18",166.503333333333,93.7649333333333,-0.82843067719321,15.0339078272624,0.00439527048408731,1
"16132","XLOC_016133",7473.12,7143.55,7291.7,4251.09,4635.21,3451.02,"USO1",7302.79,4112.44,-0.828453114582674,8.82312909835969,0.0126032781479628,1
"113","XLOC_000113",90.1761,75.5384,70.4411,42.2814,43.3683,47.3262,"TMEM51",78.7185333333333,44.3253,-0.828572945421612,5.62886685078572,0.030141825187403,1
"12388","XLOC_012389",2520.51,2682.81,2630.73,1531.79,1389.52,1489.83,"SPATS2L",2611.35,1470.38,-0.828606787004409,17.8838309074952,0.00311205938893539,1
"4570","XLOC_004570",8.84079,11.9271,9.76411,3.62412,6.93893,6.62566,"FLJ39051",10.1773333333333,5.72957,-0.828860820761445,3.18276630330733,0.0861512397726865,1
"9016","XLOC_009017",438.503,456.411,477.744,248.856,265.414,258.401,"RSAD1",457.552666666667,257.557,-0.829046063769708,16.2392917515999,0.00377054496173956,1
