"","tracking_id","ES_0","ES_1","ES_2","DefEnd_0","DefEnd_2","DefEnd_1","gene_short_name"
"11885","XLOC_011885",228.488,235.883,206.875,102.387,79.4515,77.2391,"LINC00664"
"11886","XLOC_011886",167.983,189.943,179.618,367.901,274.297,327.059,"ZNF429"
"11887","XLOC_011887",7.96126,5.30075,3.49451,17.3538,11.3502,18.1029,"LOC641367"
"11888","XLOC_011888",3.98063,2.65037,1.3978,10.4123,1.8917,1.20686,"ZNF257"
"11889","XLOC_011889",0.796126,0,0,0,0,1.20686,"ZNF729"
"11890","XLOC_011890",0,0,0,0,0,0,"LINC01233"
"11891","XLOC_011891",0,0,0,0,0,0,"GOLGA2P9"
"11892","XLOC_011892",0,0,0,0,0,0,"LOC100996349"
"11893","XLOC_011893",21.4954,21.203,25.1605,19.0892,37.8341,31.3784,"ZNF492"
"11894","XLOC_011894",200.624,276.522,203.38,616.06,658.313,593.775,"ZNF730"
"11895","XLOC_011895",124.992,126.335,113.921,152.713,131.473,130.341,"RPSAP58"
"11896","XLOC_011896",7.16514,9.71804,6.98902,8.6769,2.83755,14.4823,"ZNF726"
"11897","XLOC_011897",893.254,943.533,904.379,2422.59,1767.8,2155.45,"ZNF254"
"11898","XLOC_011898",67.6707,74.2105,48.2242,52.0614,77.5598,62.7568,"LOC101927151"
"11899","XLOC_011899",3.18451,0,0.698902,0,0,0,"LINC00906,LOC102724958"
"11900","XLOC_011900",1.59225,0.883458,0,0,0,2.41372,"LINC01532"
"11901","XLOC_011901",3.98063,3.53383,2.0967,1.73538,0,0,"VSTM2B"
"11902","XLOC_011902",303.324,289.774,317.301,458.14,314.023,404.298,"POP4"
"11903","XLOC_011903",27.8644,23.8534,15.3758,5.20614,0.945851,2.41372,"PLEKHF1"
"11904","XLOC_011904",632.124,629.022,717.772,496.319,457.792,430.849,"CCNE1"
"11905","XLOC_011905",1842.24,1866.75,1852.09,1438.63,1076.38,1369.79,"URI1"
"11906","XLOC_011906",3.18451,2.65037,2.0967,0,0,1.20686,"ZNF536"
"11907","XLOC_011907",0,0.883458,0.698902,0,0,0,"THEG5"
"11908","XLOC_011908",0,0,0,0,0,0,"LINC01533"
"11909","XLOC_011909",1515.03,1642.35,1464.2,1539.28,1213.53,1480.82,"ZNF507"
"11910","XLOC_011910",2368.48,2462.2,2393.74,2990.06,2225.59,2967.67,"DPY19L3"
"11911","XLOC_011911",691.038,638.74,666.752,900.662,583.59,848.423,"PDCD5"
"11912","XLOC_011912",1.59225,3.53383,0,0,0,0,"RGS9BP"
"11913","XLOC_011913",89.1661,105.132,108.33,236.012,202.412,213.614,"NUDT19"
"11914","XLOC_011914",7.16514,1.76692,2.79561,0,0,0,"TDRD12"
"11915","XLOC_011915",51.7482,66.2594,62.2022,43.3845,59.5886,54.3087,"C19orf40"
"11916","XLOC_011916",234.857,230.583,221.552,220.393,262.947,305.336,"GPATCH1"
"11917","XLOC_011917",8.75739,4.41729,8.38682,5.20614,7.56681,8.44802,"WDR88"
"11918","XLOC_011918",32.6412,36.2218,37.7407,17.3538,41.6175,4.82744,"LRP3"
"11919","XLOC_011919",23.0877,19.4361,13.978,19.0892,13.2419,18.1029,"CEBPA-AS1"
"11920","XLOC_011920",1632.86,1683.87,1706.02,1405.66,1037.6,1357.72,"CEBPG"
"11921","XLOC_011921",18.3109,14.1353,11.8813,3.47076,5.67511,7.24116,"CHST8"
"11922","XLOC_011922",468.122,461.165,508.101,734.066,876.804,778.425,"KCTD15"
"11923","XLOC_011923",5266.38,5662.97,5693.95,6757.57,4919.37,6069.3,"LSM14A"
"11924","XLOC_011924",547.735,593.684,547.24,871.161,723.576,774.805,"KIAA0355"
"11925","XLOC_011925",3873.15,3581.54,3811.11,1596.55,2385.44,1618.4,"GPI"
"11926","XLOC_011926",236.45,241.184,203.38,170.067,119.177,142.41,"PDCD2L"
"11927","XLOC_011927",5909.65,6011.05,5993.78,5804.85,4296.06,5772.41,"UBA2"
"11928","XLOC_011928",39.0102,35.3383,34.2462,52.0614,151.336,71.2048,"WTIP"
"11929","XLOC_011929",0,0,0,0,0,0,"SCGB2B3P"
"11930","XLOC_011930",827.971,863.139,854.058,1100.23,807.757,1130.83,"ZNF302"
"11931","XLOC_011931",196.643,221.748,201.284,298.485,265.784,312.577,"ZNF181"
"11932","XLOC_011932",183.905,175.808,169.134,204.775,147.553,195.511,"ZNF30"
"11933","XLOC_011933",587.541,532.725,559.121,242.953,561.836,240.165,"GRAMD1A"
"11934","XLOC_011934",13.5341,18.5526,13.2791,3.47076,9.45851,6.0343,"SCN1B"
"11935","XLOC_011935",34.2334,34.4549,39.8374,15.6184,45.4009,10.8617,"HPN"
"11936","XLOC_011936",7.16514,7.06766,5.59121,0,0.945851,1.20686,"FXYD3"
"11937","XLOC_011937",0,0,0,0,0,0,"MIR6887"
"11938","XLOC_011938",14.3303,14.1353,13.2791,0,0.945851,1.20686,"FXYD1"
"11939","XLOC_011939",22.2915,22.9699,24.4616,0,0.945851,1.20686,"FXYD7"
"11940","XLOC_011940",605.852,545.094,594.765,105.858,250.651,121.893,"FXYD5"
"11941","XLOC_011941",493.598,440.846,540.95,317.575,746.277,289.647,"LSR"
"11942","XLOC_011942",507.929,464.699,544.444,491.113,741.547,458.607,"USF2"
"11943","XLOC_011943",0,0,0,1.73538,1.8917,0,"HAMP"
"11944","XLOC_011944",0.796126,1.76692,0,0,0,0,"MAG"
"11945","XLOC_011945",0.796126,0.883458,1.3978,0,9.45851,2.41372,"CD22,MIR5196"
"11946","XLOC_011946",0,0,0,0,0,0,"FFAR1"
"11947","XLOC_011947",0.796126,0,0,1.73538,0.945851,0,"FFAR3"
"11948","XLOC_011948",14.3303,18.5526,14.6769,20.8246,15.1336,14.4823,"LINC01531"
"11949","XLOC_011949",11.1458,9.71804,19.5692,13.883,12.2961,16.896,"FFAR2"
"11950","XLOC_011950",43.7869,51.2406,38.4396,12.1477,34.0506,21.7235,"GAPDHS"
"11951","XLOC_011951",733.232,639.624,691.913,478.965,531.568,441.711,"TMEM147"
"11952","XLOC_011952",0,0,0.698902,0,0,0,"LOC102723617"
"11953","XLOC_011953",228.488,233.233,246.013,222.129,329.156,254.648,"HAUS5"
"11954","XLOC_011954",148.876,133.402,157.952,118.006,282.81,127.927,"RBM42"
"11955","XLOC_011955",1.59225,3.53383,2.0967,0,3.78341,0,"ETV2"
"11956","XLOC_011956",2017.38,1724.51,2136.54,1462.93,1560.65,1472.37,"COX6B1"
"11957","XLOC_011957",7.96126,2.65037,6.29011,3.47076,1.8917,1.20686,"UPK1A"
"11958","XLOC_011958",2.38838,2.65037,2.79561,0,1.8917,0,"ZBTB32"
"11959","XLOC_011959",476.88,409.925,444.501,286.338,718.847,334.3,"KMT2B"
"11960","XLOC_011960",354.276,350.733,392.783,386.99,572.24,380.161,"PSENEN"
"11961","XLOC_011961",28.6605,32.688,32.1495,32.9722,49.1843,30.1715,"LIN37"
"11962","XLOC_011962",76.4281,76.8609,78.277,91.9752,169.307,107.411,"PROSER3"
"11963","XLOC_011963",83.5933,79.5112,96.4484,29.5015,115.394,33.7921,"ARHGAP33"
"11964","XLOC_011964",81.2049,58.3082,67.7935,15.6184,29.3214,18.1029,"KIRREL2"
"11965","XLOC_011965",171.167,161.673,171.231,93.7105,198.629,98.9626,"APLP1"
"11966","XLOC_011966",0.796126,2.65037,4.19341,1.73538,0,2.41372,"HCST"
"11967","XLOC_011967",84.3894,62.7255,69.8902,48.5906,62.4262,69.9979,"LRFN3"
"11968","XLOC_011968",56.525,44.1729,68.4924,46.8553,40.6716,55.5156,"SDHAF1"
"11969","XLOC_011969",5.57288,9.71804,3.49451,3.47076,1.8917,0,"LOC101927572"
"11970","XLOC_011970",580.376,510.639,552.831,211.716,326.319,195.511,"WDR62"
"11971","XLOC_011971",0,0,0,0,0,0,"OVOL3"
"11972","XLOC_011972",509.521,461.165,535.359,359.224,659.258,398.264,"TBCB"
"11973","XLOC_011973",1808.8,1672.39,1880.05,3623.47,4384.97,3789.54,"CAPNS1"
"11974","XLOC_011974",5820.48,6219.55,6245.39,6214.4,3981.09,5671.04,"ZNF146"
"11975","XLOC_011975",0,0,1.3978,0,1.8917,0,"LOC100134317"
"11976","XLOC_011976",0,0,0,0,0,0,"LOC644189"
"11977","XLOC_011977",20.6993,32.688,38.4396,31.2368,44.455,24.1372,"LOC728752"
"11978","XLOC_011978",28.6605,31.8045,32.1495,45.1199,47.2926,44.6538,"ZNF529-AS1"
"11979","XLOC_011979",93.9429,119.267,86.6638,166.597,157.011,166.547,"ZNF382"
"11980","XLOC_011980",407.617,388.722,408.857,682.004,431.308,567.225,"ZNF567"
"11981","XLOC_011981",12.738,10.6015,14.6769,3.47076,5.67511,6.0343,"LOC728485"
"11982","XLOC_011982",1.59225,0.883458,0,0,4.72926,3.62058,"ZNF790-AS1"
"11983","XLOC_011983",134.545,159.022,154.457,192.627,121.069,143.616,"ZNF345"
"11984","XLOC_011984",62.894,54.7744,59.4066,104.123,87.0183,106.204,"ZNF568"
